,function.,variable,copy_number,plant_nr
399,09103 Lipid metabolism,C5_C,4.440494231,C5
400,09104 Nucleotide metabolism,C5_C,4.086935894,C5
401,09105 Amino acid metabolism,C5_C,9.779496123,C5
402,09106 Metabolism of other amino acids,C5_C,1.443099299,C5
403,09107 Glycan biosynthesis and metabolism,C5_C,3.995450294,C5
404,09108 Metabolism of cofactors and vitamins,C5_C,5.341491852,C5
405,09122 Translation,C5_C,14.34434106,C5
406,09124 Replication and repair,C5_C,1.114254139,C5
407,09131 Membrane transport,C5_C,1.897384915,C5
408,09132 Signal transduction,C5_C,1.116223168,C5
409,09142 Cell motility,C5_C,2.292706956,C5
410,09181 Protein families: metabolism,C5_C,2.082485573,C5
411,09182 Protein families: genetic information processing,C5_C,9.750006555,C5
412,09183 Protein families: signaling and cellular processes,C5_C,4.504188887,C5
413,09191 Unclassified: metabolism,C5_C,4.966970933,C5
414,Other,C5_C,4.149708562,C5
415,09101 Carbohydrate metabolism,C6_B,16.10974056,C6
416,09102 Energy metabolism,C6_B,8.229773634,C6
417,09103 Lipid metabolism,C6_B,4.338685604,C6
418,09104 Nucleotide metabolism,C6_B,3.923032975,C6
419,09105 Amino acid metabolism,C6_B,9.8483916,C6
420,09106 Metabolism of other amino acids,C6_B,1.607894012,C6
421,09107 Glycan biosynthesis and metabolism,C6_B,3.811232148,C6
422,09108 Metabolism of cofactors and vitamins,C6_B,5.16618316,C6
423,09122 Translation,C6_B,13.45540478,C6
424,09124 Replication and repair,C6_B,1.158466144,C6
425,09131 Membrane transport,C6_B,1.791772811,C6
426,09132 Signal transduction,C6_B,1.400770621,C6
427,09142 Cell motility,C6_B,2.791052258,C6
428,09181 Protein families: metabolism,C6_B,2.14942733,C6
429,09182 Protein families: genetic information processing,C6_B,9.661054945,C6
430,09183 Protein families: signaling and cellular processes,C6_B,5.002760929,C6
431,09191 Unclassified: metabolism,C6_B,5.139462055,C6
432,Other,C6_B,4.414894434,C6
433,09101 Carbohydrate metabolism,C6_C,16.6457676,C6
434,09102 Energy metabolism,C6_C,8.293881421,C6
435,09103 Lipid metabolism,C6_C,4.465527959,C6
436,09104 Nucleotide metabolism,C6_C,3.881312605,C6
437,09105 Amino acid metabolism,C6_C,9.867183207,C6
438,09106 Metabolism of other amino acids,C6_C,1.624219376,C6
439,09107 Glycan biosynthesis and metabolism,C6_C,3.417026307,C6
440,09108 Metabolism of cofactors and vitamins,C6_C,5.23359894,C6
441,09122 Translation,C6_C,13.50215456,C6
442,09124 Replication and repair,C6_C,1.15436886,C6
443,09131 Membrane transport,C6_C,1.926347642,C6
444,09132 Signal transduction,C6_C,1.341035674,C6
445,09142 Cell motility,C6_C,2.886426592,C6
446,09181 Protein families: metabolism,C6_C,2.268198322,C6
447,09182 Protein families: genetic information processing,C6_C,9.522554315,C6
448,09183 Protein families: signaling and cellular processes,C6_C,4.363844858,C6
449,09191 Unclassified: metabolism,C6_C,5.202273031,C6
450,Other,C6_C,4.404278737,C6
