,OTU_ID,sample,Sample_Depth,plant_nr,Site,abun,Guild
673,234,J10_C,,J10,El Junco,2.814308259,Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph
674,244,J10_C,,J10,El Junco,NA,Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph
675,247,J10_C,,J10,El Junco,1.017008592,Plant Pathogen
676,260,J10_C,,J10,El Junco,0.100824128,Fungal Parasite
677,348,J10_C,,J10,El Junco,NA,Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotro
678,365,J10_C,,J10,El Junco,NA,Undefined Saprotroph
679,449,J10_C,,J10,El Junco,59.24513414,Undefined Saprotroph
680,452,J10_C,,J10,El Junco,5.983692793,Soil Saprotroph
681,472,J10_C,,J10,El Junco,3.862002455,Arbuscular Mycorrhizal
682,482,J10_C,,J10,El Junco,0.227950202,Undefined Saprotroph
683,484,J10_C,,J10,El Junco,10.92845871,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph
684,1_Other,J10_C,,J10,El Junco,4.633526214,Other
685,14,J11_A,,J11,El Junco,NA,Undefined Saprotroph
686,48,J11_A,,J11,El Junco,2.645534171,Animal Pathogen-Plant Pathogen-Undefined Saprotroph
687,73,J11_A,,J11,El Junco,NA,Undefined Saprotroph
688,128,J11_A,,J11,El Junco,1.847107192,Undefined Saprotroph
689,156,J11_A,,J11,El Junco,3.4141691,Endophyte
690,160,J11_A,,J11,El Junco,NA,Undefined Saprotroph
691,234,J11_A,,J11,El Junco,8.371566466,Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph
692,244,J11_A,,J11,El Junco,0.113209796,Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph
693,247,J11_A,,J11,El Junco,10.3616755,Plant Pathogen
694,260,J11_A,,J11,El Junco,0.160877078,Fungal Parasite
695,348,J11_A,,J11,El Junco,0.250253232,Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotro
696,365,J11_A,,J11,El Junco,NA,Undefined Saprotroph
697,449,J11_A,,J11,El Junco,0.995054519,Undefined Saprotroph
698,452,J11_A,,J11,El Junco,6.44104153,Soil Saprotroph
699,472,J11_A,,J11,El Junco,14.94965143,Arbuscular Mycorrhizal
700,482,J11_A,,J11,El Junco,0.166835488,Undefined Saprotroph
701,484,J11_A,,J11,El Junco,11.43418936,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph
702,1_Other,J11_A,,J11,El Junco,38.84883513,Other
703,14,J11_B,,J11,El Junco,NA,Undefined Saprotroph
704,48,J11_B,,J11,El Junco,NA,Animal Pathogen-Plant Pathogen-Undefined Saprotroph
705,73,J11_B,,J11,El Junco,NA,Undefined Saprotroph
706,128,J11_B,,J11,El Junco,0.712990181,Undefined Saprotroph
707,156,J11_B,,J11,El Junco,4.08405779,Endophyte
708,160,J11_B,,J11,El Junco,NA,Undefined Saprotroph
709,234,J11_B,,J11,El Junco,10.55725811,Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph
710,244,J11_B,,J11,El Junco,0.450309588,Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph
711,247,J11_B,,J11,El Junco,5.078491463,Plant Pathogen
712,260,J11_B,,J11,El Junco,0.206391894,Fungal Parasite
713,348,J11_B,,J11,El Junco,NA,Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotro
714,365,J11_B,,J11,El Junco,NA,Undefined Saprotroph
715,449,J11_B,,J11,El Junco,0.944399275,Undefined Saprotroph
716,452,J11_B,,J11,El Junco,23.07836638,Soil Saprotroph
717,472,J11_B,,J11,El Junco,1.375945963,Arbuscular Mycorrhizal
718,482,J11_B,,J11,El Junco,3.865157296,Undefined Saprotroph
719,484,J11_B,,J11,El Junco,37.1442867,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph
720,1_Other,J11_B,,J11,El Junco,12.50234536,Other
721,14,J11_C,,J11,El Junco,NA,Undefined Saprotroph
722,48,J11_C,,J11,El Junco,0.166389351,Animal Pathogen-Plant Pathogen-Undefined Saprotroph
723,73,J11_C,,J11,El Junco,NA,Undefined Saprotroph
724,128,J11_C,,J11,El Junco,3.900905898,Undefined Saprotroph
725,156,J11_C,,J11,El Junco,27.88870401,Endophyte
726,160,J11_C,,J11,El Junco,NA,Undefined Saprotroph
727,234,J11_C,,J11,El Junco,4.048807543,Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph
728,244,J11_C,,J11,El Junco,0.018487706,Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph
729,247,J11_C,,J11,El Junco,2.033647624,Plant Pathogen
730,260,J11_C,,J11,El Junco,0.249584027,Fungal Parasite
